,국가(대륙)별,상품군별,판매유형별,시점,데이터
90,미국,사무·문구,면세점 이외,2017.3/4,30
91,미국,사무·문구,면세점 이외,2017.4/4,79
92,미국,사무·문구,면세점 이외,2018.1/4,58
93,미국,사무·문구,면세점 이외,2018.2/4,55
94,미국,사무·문구,면세점 이외,2018.3/4,85
95,미국,사무·문구,면세점 이외,2018.4/4,83
96,미국,사무·문구,면세점 이외,2019.1/4,198
97,미국,사무·문구,면세점 이외,2019.2/4,72
98,미국,사무·문구,면세점 이외,2019.3/4,83
99,미국,사무·문구,면세점 이외,2019.4/4,101
100,미국,사무·문구,면세점 이외,2020.1/4,74
101,미국,사무·문구,면세점 이외,2020.2/4,85
102,미국,사무·문구,면세점 이외,2020.3/4,87
103,미국,사무·문구,면세점 이외,2020.4/4,152
104,미국,사무·문구,면세점 이외,2021.1/4,1409
105,미국,사무·문구,면세점 이외,2021.2/4,373
106,미국,사무·문구,면세점 이외,2021.3/4,1275
107,미국,사무·문구,면세점 이외,2021.4/4,334
108,미국,사무·문구,면세점 이외,2022.1/4,625
109,미국,사무·문구,면세점 이외,2022.2/4 p),587
110,미국,음반·비디오·악기,면세점 이외,2017.1/4,1922
111,미국,음반·비디오·악기,면세점 이외,2017.2/4,1778
112,미국,음반·비디오·악기,면세점 이외,2017.3/4,2281
113,미국,음반·비디오·악기,면세점 이외,2017.4/4,2647
114,미국,음반·비디오·악기,면세점 이외,2018.1/4,2362
115,미국,음반·비디오·악기,면세점 이외,2018.2/4,3014
116,미국,음반·비디오·악기,면세점 이외,2018.3/4,3932
117,미국,음반·비디오·악기,면세점 이외,2018.4/4,4550
118,미국,음반·비디오·악기,면세점 이외,2019.1/4,3857
119,미국,음반·비디오·악기,면세점 이외,2019.2/4,5191
120,미국,음반·비디오·악기,면세점 이외,2019.3/4,5762
121,미국,음반·비디오·악기,면세점 이외,2019.4/4,4786
122,미국,음반·비디오·악기,면세점 이외,2020.1/4,5258
123,미국,음반·비디오·악기,면세점 이외,2020.2/4,7516
124,미국,음반·비디오·악기,면세점 이외,2020.3/4,9854
125,미국,음반·비디오·악기,면세점 이외,2020.4/4,10291
126,미국,음반·비디오·악기,면세점 이외,2021.1/4,12041
127,미국,음반·비디오·악기,면세점 이외,2021.2/4,9541
128,미국,음반·비디오·악기,면세점 이외,2021.3/4,10170
129,미국,음반·비디오·악기,면세점 이외,2021.4/4,10089
130,미국,음반·비디오·악기,면세점 이외,2022.1/4,7316
131,미국,음반·비디오·악기,면세점 이외,2022.2/4 p),8198
132,미국,의류 및 패션 관련상품,면세점 이외,2017.1/4,13508
133,미국,의류 및 패션 관련상품,면세점 이외,2017.2/4,11004
134,미국,의류 및 패션 관련상품,면세점 이외,2017.3/4,11025
135,미국,의류 및 패션 관련상품,면세점 이외,2017.4/4,14354
136,미국,의류 및 패션 관련상품,면세점 이외,2018.1/4,11699
137,미국,의류 및 패션 관련상품,면세점 이외,2018.2/4,12015
138,미국,의류 및 패션 관련상품,면세점 이외,2018.3/4,10099
