,국가(대륙)별,상품군별,판매유형별,시점,데이터
456,중국,의류 및 패션 관련상품,면세점 이외,2021.1/4,16773
457,중국,의류 및 패션 관련상품,면세점 이외,2021.2/4,16827
458,중국,의류 및 패션 관련상품,면세점 이외,2021.3/4,13217
459,중국,의류 및 패션 관련상품,면세점 이외,2021.4/4,17261
460,중국,의류 및 패션 관련상품,면세점 이외,2022.1/4,11439
461,중국,의류 및 패션 관련상품,면세점 이외,2022.2/4 p),10314
462,중국,스포츠·레저용품,면세점 이외,2017.1/4,1089
463,중국,스포츠·레저용품,면세점 이외,2017.2/4,638
464,중국,스포츠·레저용품,면세점 이외,2017.3/4,596
465,중국,스포츠·레저용품,면세점 이외,2017.4/4,628
466,중국,스포츠·레저용품,면세점 이외,2018.1/4,490
467,중국,스포츠·레저용품,면세점 이외,2018.2/4,474
468,중국,스포츠·레저용품,면세점 이외,2018.3/4,435
469,중국,스포츠·레저용품,면세점 이외,2018.4/4,340
470,중국,스포츠·레저용품,면세점 이외,2019.1/4,455
471,중국,스포츠·레저용품,면세점 이외,2019.2/4,450
472,중국,스포츠·레저용품,면세점 이외,2019.3/4,557
473,중국,스포츠·레저용품,면세점 이외,2019.4/4,542
474,중국,스포츠·레저용품,면세점 이외,2020.1/4,449
475,중국,스포츠·레저용품,면세점 이외,2020.2/4,1156
476,중국,스포츠·레저용품,면세점 이외,2020.3/4,538
477,중국,스포츠·레저용품,면세점 이외,2020.4/4,1856
478,중국,스포츠·레저용품,면세점 이외,2021.1/4,347
479,중국,스포츠·레저용품,면세점 이외,2021.2/4,321
480,중국,스포츠·레저용품,면세점 이외,2021.3/4,317
481,중국,스포츠·레저용품,면세점 이외,2021.4/4,265
482,중국,스포츠·레저용품,면세점 이외,2022.1/4,202
483,중국,스포츠·레저용품,면세점 이외,2022.2/4 p),315
484,중국,화장품,면세점 이외,2017.1/4,9562
485,중국,화장품,면세점 이외,2017.2/4,5723
486,중국,화장품,면세점 이외,2017.3/4,2139
487,중국,화장품,면세점 이외,2017.4/4,17184
488,중국,화장품,면세점 이외,2018.1/4,6937
489,중국,화장품,면세점 이외,2018.2/4,12434
490,중국,화장품,면세점 이외,2018.3/4,8897
491,중국,화장품,면세점 이외,2018.4/4,15605
492,중국,화장품,면세점 이외,2019.1/4,12303
493,중국,화장품,면세점 이외,2019.2/4,13065
494,중국,화장품,면세점 이외,2019.3/4,12670
495,중국,화장품,면세점 이외,2019.4/4,21407
496,중국,화장품,면세점 이외,2020.1/4,15779
497,중국,화장품,면세점 이외,2020.2/4,8583
498,중국,화장품,면세점 이외,2020.3/4,6294
499,중국,화장품,면세점 이외,2020.4/4,8199
500,중국,화장품,면세점 이외,2021.1/4,5584
501,중국,화장품,면세점 이외,2021.2/4,5546
502,중국,화장품,면세점 이외,2021.3/4,8609
503,중국,화장품,면세점 이외,2021.4/4,10733
504,중국,화장품,면세점 이외,2022.1/4,6032
505,중국,화장품,면세점 이외,2022.2/4 p),6444
506,중국,아동·유아용품,면세점 이외,2017.1/4,2186
507,중국,아동·유아용품,면세점 이외,2017.2/4,1729
508,중국,아동·유아용품,면세점 이외,2017.3/4,1355
509,중국,아동·유아용품,면세점 이외,2017.4/4,1494
510,중국,아동·유아용품,면세점 이외,2018.1/4,1304
511,중국,아동·유아용품,면세점 이외,2018.2/4,1466
512,중국,아동·유아용품,면세점 이외,2018.3/4,1209
513,중국,아동·유아용품,면세점 이외,2018.4/4,1492
514,중국,아동·유아용품,면세점 이외,2019.1/4,993
515,중국,아동·유아용품,면세점 이외,2019.2/4,1227
516,중국,아동·유아용품,면세점 이외,2019.3/4,720
517,중국,아동·유아용품,면세점 이외,2019.4/4,1143
518,중국,아동·유아용품,면세점 이외,2020.1/4,1301
519,중국,아동·유아용품,면세점 이외,2020.2/4,1147
520,중국,아동·유아용품,면세점 이외,2020.3/4,1799
521,중국,아동·유아용품,면세점 이외,2020.4/4,1359
522,중국,아동·유아용품,면세점 이외,2021.1/4,961
523,중국,아동·유아용품,면세점 이외,2021.2/4,878
524,중국,아동·유아용품,면세점 이외,2021.3/4,1354
525,중국,아동·유아용품,면세점 이외,2021.4/4,1451
526,중국,아동·유아용품,면세점 이외,2022.1/4,659
527,중국,아동·유아용품,면세점 이외,2022.2/4 p),1586
528,중국,음·식료품,면세점 이외,2017.1/4,1204
529,중국,음·식료품,면세점 이외,2017.2/4,766
530,중국,음·식료품,면세점 이외,2017.3/4,309
531,중국,음·식료품,면세점 이외,2017.4/4,817
532,중국,음·식료품,면세점 이외,2018.1/4,478
533,중국,음·식료품,면세점 이외,2018.2/4,433
534,중국,음·식료품,면세점 이외,2018.3/4,359
535,중국,음·식료품,면세점 이외,2018.4/4,425
536,중국,음·식료품,면세점 이외,2019.1/4,995
537,중국,음·식료품,면세점 이외,2019.2/4,438
538,중국,음·식료품,면세점 이외,2019.3/4,267
539,중국,음·식료품,면세점 이외,2019.4/4,444
540,중국,음·식료품,면세점 이외,2020.1/4,1541
541,중국,음·식료품,면세점 이외,2020.2/4,604
542,중국,음·식료품,면세점 이외,2020.3/4,1263
543,중국,음·식료품,면세점 이외,2020.4/4,812
544,중국,음·식료품,면세점 이외,2021.1/4,674
545,중국,음·식료품,면세점 이외,2021.2/4,674
546,중국,음·식료품,면세점 이외,2021.3/4,638
547,중국,음·식료품,면세점 이외,2021.4/4,535
548,중국,음·식료품,면세점 이외,2022.1/4,572
549,중국,음·식료품,면세점 이외,2022.2/4 p),527
550,중국,농축수산물,면세점 이외,2017.1/4,12
551,중국,농축수산물,면세점 이외,2017.2/4,13
552,중국,농축수산물,면세점 이외,2017.3/4,22
553,중국,농축수산물,면세점 이외,2017.4/4,17
554,중국,농축수산물,면세점 이외,2018.1/4,43
555,중국,농축수산물,면세점 이외,2018.2/4,39
556,중국,농축수산물,면세점 이외,2018.3/4,24
557,중국,농축수산물,면세점 이외,2018.4/4,14
558,중국,농축수산물,면세점 이외,2019.1/4,15
559,중국,농축수산물,면세점 이외,2019.2/4,24
560,중국,농축수산물,면세점 이외,2019.3/4,6
561,중국,농축수산물,면세점 이외,2019.4/4,14
562,중국,농축수산물,면세점 이외,2020.1/4,20
563,중국,농축수산물,면세점 이외,2020.2/4,20
564,중국,농축수산물,면세점 이외,2020.3/4,28
565,중국,농축수산물,면세점 이외,2020.4/4,20
566,중국,농축수산물,면세점 이외,2021.1/4,19
567,중국,농축수산물,면세점 이외,2021.2/4,24
568,중국,농축수산물,면세점 이외,2021.3/4,19
569,중국,농축수산물,면세점 이외,2021.4/4,9
570,중국,농축수산물,면세점 이외,2022.1/4,8
571,중국,농축수산물,면세점 이외,2022.2/4 p),8
572,중국,생활용품 및 자동차용품,면세점 이외,2017.1/4,3323
573,중국,생활용품 및 자동차용품,면세점 이외,2017.2/4,2225
574,중국,생활용품 및 자동차용품,면세점 이외,2017.3/4,3269
575,중국,생활용품 및 자동차용품,면세점 이외,2017.4/4,7414
576,중국,생활용품 및 자동차용품,면세점 이외,2018.1/4,4175
577,중국,생활용품 및 자동차용품,면세점 이외,2018.2/4,3800
578,중국,생활용품 및 자동차용품,면세점 이외,2018.3/4,1660
579,중국,생활용품 및 자동차용품,면세점 이외,2018.4/4,4155
580,중국,생활용품 및 자동차용품,면세점 이외,2019.1/4,2261
581,중국,생활용품 및 자동차용품,면세점 이외,2019.2/4,2916
582,중국,생활용품 및 자동차용품,면세점 이외,2019.3/4,5507
583,중국,생활용품 및 자동차용품,면세점 이외,2019.4/4,6125
584,중국,생활용품 및 자동차용품,면세점 이외,2020.1/4,2640
585,중국,생활용품 및 자동차용품,면세점 이외,2020.2/4,2264
586,중국,생활용품 및 자동차용품,면세점 이외,2020.3/4,984
587,중국,생활용품 및 자동차용품,면세점 이외,2020.4/4,1254
588,중국,생활용품 및 자동차용품,면세점 이외,2021.1/4,1272
589,중국,생활용품 및 자동차용품,면세점 이외,2021.2/4,1085
590,중국,생활용품 및 자동차용품,면세점 이외,2021.3/4,1017
591,중국,생활용품 및 자동차용품,면세점 이외,2021.4/4,655
592,중국,생활용품 및 자동차용품,면세점 이외,2022.1/4,376
593,중국,생활용품 및 자동차용품,면세점 이외,2022.2/4 p),666
594,중국,기 타,면세점 이외,2017.1/4,732
595,중국,기 타,면세점 이외,2017.2/4,728
596,중국,기 타,면세점 이외,2017.3/4,614
597,중국,기 타,면세점 이외,2017.4/4,1159
598,중국,기 타,면세점 이외,2018.1/4,1068
599,중국,기 타,면세점 이외,2018.2/4,1628
600,중국,기 타,면세점 이외,2018.3/4,975
601,중국,기 타,면세점 이외,2018.4/4,1102
602,중국,기 타,면세점 이외,2019.1/4,924
603,중국,기 타,면세점 이외,2019.2/4,1259
604,중국,기 타,면세점 이외,2019.3/4,947
605,중국,기 타,면세점 이외,2019.4/4,1774
606,중국,기 타,면세점 이외,2020.1/4,18009
607,중국,기 타,면세점 이외,2020.2/4,1031
608,중국,기 타,면세점 이외,2020.3/4,944
609,중국,기 타,면세점 이외,2020.4/4,2752
610,중국,기 타,면세점 이외,2021.1/4,2712
611,중국,기 타,면세점 이외,2021.2/4,2668
612,중국,기 타,면세점 이외,2021.3/4,2359
613,중국,기 타,면세점 이외,2021.4/4,1797
614,중국,기 타,면세점 이외,2022.1/4,4387
615,중국,기 타,면세점 이외,2022.2/4 p),2634
616,일본,컴퓨터 및 주변기기,면세점 이외,2017.1/4,26
617,일본,컴퓨터 및 주변기기,면세점 이외,2017.2/4,29
618,일본,컴퓨터 및 주변기기,면세점 이외,2017.3/4,38
619,일본,컴퓨터 및 주변기기,면세점 이외,2017.4/4,35
620,일본,컴퓨터 및 주변기기,면세점 이외,2018.1/4,27
621,일본,컴퓨터 및 주변기기,면세점 이외,2018.2/4,42
622,일본,컴퓨터 및 주변기기,면세점 이외,2018.3/4,70
623,일본,컴퓨터 및 주변기기,면세점 이외,2018.4/4,25
624,일본,컴퓨터 및 주변기기,면세점 이외,2019.1/4,34
625,일본,컴퓨터 및 주변기기,면세점 이외,2019.2/4,28
626,일본,컴퓨터 및 주변기기,면세점 이외,2019.3/4,13
627,일본,컴퓨터 및 주변기기,면세점 이외,2019.4/4,63
628,일본,컴퓨터 및 주변기기,면세점 이외,2020.1/4,36
629,일본,컴퓨터 및 주변기기,면세점 이외,2020.2/4,43
630,일본,컴퓨터 및 주변기기,면세점 이외,2020.3/4,83
631,일본,컴퓨터 및 주변기기,면세점 이외,2020.4/4,31
632,일본,컴퓨터 및 주변기기,면세점 이외,2021.1/4,40
633,일본,컴퓨터 및 주변기기,면세점 이외,2021.2/4,26
634,일본,컴퓨터 및 주변기기,면세점 이외,2021.3/4,22
635,일본,컴퓨터 및 주변기기,면세점 이외,2021.4/4,14
636,일본,컴퓨터 및 주변기기,면세점 이외,2022.1/4,2
637,일본,컴퓨터 및 주변기기,면세점 이외,2022.2/4 p),1
638,일본,가전·전자·통신기기,면세점 이외,2017.1/4,680
639,일본,가전·전자·통신기기,면세점 이외,2017.2/4,674
640,일본,가전·전자·통신기기,면세점 이외,2017.3/4,729
641,일본,가전·전자·통신기기,면세점 이외,2017.4/4,637
642,일본,가전·전자·통신기기,면세점 이외,2018.1/4,761
643,일본,가전·전자·통신기기,면세점 이외,2018.2/4,651
644,일본,가전·전자·통신기기,면세점 이외,2018.3/4,678
645,일본,가전·전자·통신기기,면세점 이외,2018.4/4,145
646,일본,가전·전자·통신기기,면세점 이외,2019.1/4,797
647,일본,가전·전자·통신기기,면세점 이외,2019.2/4,658
648,일본,가전·전자·통신기기,면세점 이외,2019.3/4,707
649,일본,가전·전자·통신기기,면세점 이외,2019.4/4,182
650,일본,가전·전자·통신기기,면세점 이외,2020.1/4,113
651,일본,가전·전자·통신기기,면세점 이외,2020.2/4,63
652,일본,가전·전자·통신기기,면세점 이외,2020.3/4,140
653,일본,가전·전자·통신기기,면세점 이외,2020.4/4,88
654,일본,가전·전자·통신기기,면세점 이외,2021.1/4,60
655,일본,가전·전자·통신기기,면세점 이외,2021.2/4,32
656,일본,가전·전자·통신기기,면세점 이외,2021.3/4,52
657,일본,가전·전자·통신기기,면세점 이외,2021.4/4,31
658,일본,가전·전자·통신기기,면세점 이외,2022.1/4,8
659,일본,가전·전자·통신기기,면세점 이외,2022.2/4 p),13
660,일본,소프트웨어,면세점 이외,2017.1/4,2
661,일본,소프트웨어,면세점 이외,2017.2/4,2
662,일본,소프트웨어,면세점 이외,2017.3/4,1
663,일본,소프트웨어,면세점 이외,2017.4/4,3
664,일본,소프트웨어,면세점 이외,2018.1/4,2
665,일본,소프트웨어,면세점 이외,2018.2/4,2
666,일본,소프트웨어,면세점 이외,2018.3/4,2
667,일본,소프트웨어,면세점 이외,2018.4/4,1
668,일본,소프트웨어,면세점 이외,2019.1/4,5
669,일본,소프트웨어,면세점 이외,2019.2/4,7
670,일본,소프트웨어,면세점 이외,2019.3/4,1
671,일본,소프트웨어,면세점 이외,2019.4/4,1
672,일본,소프트웨어,면세점 이외,2020.1/4,1
673,일본,소프트웨어,면세점 이외,2020.2/4,2
674,일본,소프트웨어,면세점 이외,2020.3/4,1
675,일본,소프트웨어,면세점 이외,2020.4/4,23
676,일본,소프트웨어,면세점 이외,2021.1/4,1
677,일본,소프트웨어,면세점 이외,2021.2/4,4
678,일본,소프트웨어,면세점 이외,2021.3/4,0
679,일본,소프트웨어,면세점 이외,2021.4/4,0
680,일본,소프트웨어,면세점 이외,2022.1/4,0
681,일본,소프트웨어,면세점 이외,2022.2/4 p),0
682,일본,서 적,면세점 이외,2017.1/4,89
683,일본,서 적,면세점 이외,2017.2/4,76
684,일본,서 적,면세점 이외,2017.3/4,38
685,일본,서 적,면세점 이외,2017.4/4,42
686,일본,서 적,면세점 이외,2018.1/4,64
687,일본,서 적,면세점 이외,2018.2/4,58
688,일본,서 적,면세점 이외,2018.3/4,36
689,일본,서 적,면세점 이외,2018.4/4,84
690,일본,서 적,면세점 이외,2019.1/4,73
691,일본,서 적,면세점 이외,2019.2/4,108
692,일본,서 적,면세점 이외,2019.3/4,191
693,일본,서 적,면세점 이외,2019.4/4,202
694,일본,서 적,면세점 이외,2020.1/4,134
695,일본,서 적,면세점 이외,2020.2/4,188
696,일본,서 적,면세점 이외,2020.3/4,333
697,일본,서 적,면세점 이외,2020.4/4,400
698,일본,서 적,면세점 이외,2021.1/4,690
699,일본,서 적,면세점 이외,2021.2/4,384
700,일본,서 적,면세점 이외,2021.3/4,440
701,일본,서 적,면세점 이외,2021.4/4,554
702,일본,서 적,면세점 이외,2022.1/4,550
703,일본,서 적,면세점 이외,2022.2/4 p),390
704,일본,사무·문구,면세점 이외,2017.1/4,537
705,일본,사무·문구,면세점 이외,2017.2/4,451
706,일본,사무·문구,면세점 이외,2017.3/4,429
707,일본,사무·문구,면세점 이외,2017.4/4,389
708,일본,사무·문구,면세점 이외,2018.1/4,510
709,일본,사무·문구,면세점 이외,2018.2/4,445
710,일본,사무·문구,면세점 이외,2018.3/4,523
711,일본,사무·문구,면세점 이외,2018.4/4,223
712,일본,사무·문구,면세점 이외,2019.1/4,729
713,일본,사무·문구,면세점 이외,2019.2/4,735
714,일본,사무·문구,면세점 이외,2019.3/4,855
715,일본,사무·문구,면세점 이외,2019.4/4,375
716,일본,사무·문구,면세점 이외,2020.1/4,349
717,일본,사무·문구,면세점 이외,2020.2/4,314
718,일본,사무·문구,면세점 이외,2020.3/4,424
719,일본,사무·문구,면세점 이외,2020.4/4,439
720,일본,사무·문구,면세점 이외,2021.1/4,1056
721,일본,사무·문구,면세점 이외,2021.2/4,532
722,일본,사무·문구,면세점 이외,2021.3/4,813
723,일본,사무·문구,면세점 이외,2021.4/4,380
724,일본,사무·문구,면세점 이외,2022.1/4,733
725,일본,사무·문구,면세점 이외,2022.2/4 p),658
726,일본,음반·비디오·악기,면세점 이외,2017.1/4,537
727,일본,음반·비디오·악기,면세점 이외,2017.2/4,715
728,일본,음반·비디오·악기,면세점 이외,2017.3/4,899
729,일본,음반·비디오·악기,면세점 이외,2017.4/4,673
730,일본,음반·비디오·악기,면세점 이외,2018.1/4,936
731,일본,음반·비디오·악기,면세점 이외,2018.2/4,1281
732,일본,음반·비디오·악기,면세점 이외,2018.3/4,1122
733,일본,음반·비디오·악기,면세점 이외,2018.4/4,3679
734,일본,음반·비디오·악기,면세점 이외,2019.1/4,2433
735,일본,음반·비디오·악기,면세점 이외,2019.2/4,1632
736,일본,음반·비디오·악기,면세점 이외,2019.3/4,2592
737,일본,음반·비디오·악기,면세점 이외,2019.4/4,2055
738,일본,음반·비디오·악기,면세점 이외,2020.1/4,2341
739,일본,음반·비디오·악기,면세점 이외,2020.2/4,2829
740,일본,음반·비디오·악기,면세점 이외,2020.3/4,4522
741,일본,음반·비디오·악기,면세점 이외,2020.4/4,5046
742,일본,음반·비디오·악기,면세점 이외,2021.1/4,3905
743,일본,음반·비디오·악기,면세점 이외,2021.2/4,3575
744,일본,음반·비디오·악기,면세점 이외,2021.3/4,4303
745,일본,음반·비디오·악기,면세점 이외,2021.4/4,4157
746,일본,음반·비디오·악기,면세점 이외,2022.1/4,3312
747,일본,음반·비디오·악기,면세점 이외,2022.2/4 p),3512
748,일본,의류 및 패션 관련상품,면세점 이외,2017.1/4,20135
749,일본,의류 및 패션 관련상품,면세점 이외,2017.2/4,19897
750,일본,의류 및 패션 관련상품,면세점 이외,2017.3/4,22409
751,일본,의류 및 패션 관련상품,면세점 이외,2017.4/4,26644
752,일본,의류 및 패션 관련상품,면세점 이외,2018.1/4,34140
753,일본,의류 및 패션 관련상품,면세점 이외,2018.2/4,34505
754,일본,의류 및 패션 관련상품,면세점 이외,2018.3/4,32876
755,일본,의류 및 패션 관련상품,면세점 이외,2018.4/4,33221
756,일본,의류 및 패션 관련상품,면세점 이외,2019.1/4,36170
757,일본,의류 및 패션 관련상품,면세점 이외,2019.2/4,34721
758,일본,의류 및 패션 관련상품,면세점 이외,2019.3/4,31046
759,일본,의류 및 패션 관련상품,면세점 이외,2019.4/4,29601
760,일본,의류 및 패션 관련상품,면세점 이외,2020.1/4,23118
761,일본,의류 및 패션 관련상품,면세점 이외,2020.2/4,33954
762,일본,의류 및 패션 관련상품,면세점 이외,2020.3/4,29968
763,일본,의류 및 패션 관련상품,면세점 이외,2020.4/4,32412
764,일본,의류 및 패션 관련상품,면세점 이외,2021.1/4,25773
765,일본,의류 및 패션 관련상품,면세점 이외,2021.2/4,31238
766,일본,의류 및 패션 관련상품,면세점 이외,2021.3/4,28171
767,일본,의류 및 패션 관련상품,면세점 이외,2021.4/4,33777
768,일본,의류 및 패션 관련상품,면세점 이외,2022.1/4,26975
769,일본,의류 및 패션 관련상품,면세점 이외,2022.2/4 p),25218
770,일본,스포츠·레저용품,면세점 이외,2017.1/4,181
771,일본,스포츠·레저용품,면세점 이외,2017.2/4,179
772,일본,스포츠·레저용품,면세점 이외,2017.3/4,174
773,일본,스포츠·레저용품,면세점 이외,2017.4/4,156
774,일본,스포츠·레저용품,면세점 이외,2018.1/4,206
775,일본,스포츠·레저용품,면세점 이외,2018.2/4,216
776,일본,스포츠·레저용품,면세점 이외,2018.3/4,209
777,일본,스포츠·레저용품,면세점 이외,2018.4/4,165
778,일본,스포츠·레저용품,면세점 이외,2019.1/4,241
779,일본,스포츠·레저용품,면세점 이외,2019.2/4,185
780,일본,스포츠·레저용품,면세점 이외,2019.3/4,219
781,일본,스포츠·레저용품,면세점 이외,2019.4/4,133
782,일본,스포츠·레저용품,면세점 이외,2020.1/4,146
783,일본,스포츠·레저용품,면세점 이외,2020.2/4,69
784,일본,스포츠·레저용품,면세점 이외,2020.3/4,158
785,일본,스포츠·레저용품,면세점 이외,2020.4/4,273
786,일본,스포츠·레저용품,면세점 이외,2021.1/4,275
787,일본,스포츠·레저용품,면세점 이외,2021.2/4,117
788,일본,스포츠·레저용품,면세점 이외,2021.3/4,293
789,일본,스포츠·레저용품,면세점 이외,2021.4/4,517
790,일본,스포츠·레저용품,면세점 이외,2022.1/4,413
791,일본,스포츠·레저용품,면세점 이외,2022.2/4 p),140
792,일본,화장품,면세점 이외,2017.1/4,1686
793,일본,화장품,면세점 이외,2017.2/4,1084
794,일본,화장품,면세점 이외,2017.3/4,1717
795,일본,화장품,면세점 이외,2017.4/4,1846
796,일본,화장품,면세점 이외,2018.1/4,1731
797,일본,화장품,면세점 이외,2018.2/4,911
798,일본,화장품,면세점 이외,2018.3/4,1324
799,일본,화장품,면세점 이외,2018.4/4,1310
800,일본,화장품,면세점 이외,2019.1/4,1895
801,일본,화장품,면세점 이외,2019.2/4,1565
802,일본,화장품,면세점 이외,2019.3/4,2504
803,일본,화장품,면세점 이외,2019.4/4,4942
804,일본,화장품,면세점 이외,2020.1/4,6131
805,일본,화장품,면세점 이외,2020.2/4,11037
806,일본,화장품,면세점 이외,2020.3/4,13053
807,일본,화장품,면세점 이외,2020.4/4,11994
808,일본,화장품,면세점 이외,2021.1/4,12421
809,일본,화장품,면세점 이외,2021.2/4,18768
810,일본,화장품,면세점 이외,2021.3/4,23380
811,일본,화장품,면세점 이외,2021.4/4,22555
812,일본,화장품,면세점 이외,2022.1/4,26664
813,일본,화장품,면세점 이외,2022.2/4 p),16535
814,일본,아동·유아용품,면세점 이외,2017.1/4,52
815,일본,아동·유아용품,면세점 이외,2017.2/4,43
816,일본,아동·유아용품,면세점 이외,2017.3/4,28
817,일본,아동·유아용품,면세점 이외,2017.4/4,40
818,일본,아동·유아용품,면세점 이외,2018.1/4,50
819,일본,아동·유아용품,면세점 이외,2018.2/4,53
820,일본,아동·유아용품,면세점 이외,2018.3/4,50
821,일본,아동·유아용품,면세점 이외,2018.4/4,102
822,일본,아동·유아용품,면세점 이외,2019.1/4,78
823,일본,아동·유아용품,면세점 이외,2019.2/4,165
824,일본,아동·유아용품,면세점 이외,2019.3/4,146
825,일본,아동·유아용품,면세점 이외,2019.4/4,189
826,일본,아동·유아용품,면세점 이외,2020.1/4,124
827,일본,아동·유아용품,면세점 이외,2020.2/4,206
828,일본,아동·유아용품,면세점 이외,2020.3/4,360
829,일본,아동·유아용품,면세점 이외,2020.4/4,663
830,일본,아동·유아용품,면세점 이외,2021.1/4,310
831,일본,아동·유아용품,면세점 이외,2021.2/4,257
832,일본,아동·유아용품,면세점 이외,2021.3/4,352
833,일본,아동·유아용품,면세점 이외,2021.4/4,212
834,일본,아동·유아용품,면세점 이외,2022.1/4,262
835,일본,아동·유아용품,면세점 이외,2022.2/4 p),95
836,일본,음·식료품,면세점 이외,2017.1/4,577
837,일본,음·식료품,면세점 이외,2017.2/4,305
838,일본,음·식료품,면세점 이외,2017.3/4,47
839,일본,음·식료품,면세점 이외,2017.4/4,73
840,일본,음·식료품,면세점 이외,2018.1/4,321
841,일본,음·식료품,면세점 이외,2018.2/4,310
842,일본,음·식료품,면세점 이외,2018.3/4,231
843,일본,음·식료품,면세점 이외,2018.4/4,858
844,일본,음·식료품,면세점 이외,2019.1/4,797
845,일본,음·식료품,면세점 이외,2019.2/4,498
846,일본,음·식료품,면세점 이외,2019.3/4,911
847,일본,음·식료품,면세점 이외,2019.4/4,1037
848,일본,음·식료품,면세점 이외,2020.1/4,1787
849,일본,음·식료품,면세점 이외,2020.2/4,963
850,일본,음·식료품,면세점 이외,2020.3/4,592
851,일본,음·식료품,면세점 이외,2020.4/4,1357
852,일본,음·식료품,면세점 이외,2021.1/4,3556
853,일본,음·식료품,면세점 이외,2021.2/4,3544
854,일본,음·식료품,면세점 이외,2021.3/4,3090
855,일본,음·식료품,면세점 이외,2021.4/4,3550
856,일본,음·식료품,면세점 이외,2022.1/4,2470
857,일본,음·식료품,면세점 이외,2022.2/4 p),2382
858,일본,농축수산물,면세점 이외,2017.1/4,1
859,일본,농축수산물,면세점 이외,2017.2/4,3
860,일본,농축수산물,면세점 이외,2017.3/4,0
861,일본,농축수산물,면세점 이외,2017.4/4,0
862,일본,농축수산물,면세점 이외,2018.1/4,2
863,일본,농축수산물,면세점 이외,2018.2/4,2
864,일본,농축수산물,면세점 이외,2018.3/4,2
865,일본,농축수산물,면세점 이외,2018.4/4,0
866,일본,농축수산물,면세점 이외,2019.1/4,0
867,일본,농축수산물,면세점 이외,2019.2/4,6
868,일본,농축수산물,면세점 이외,2019.3/4,2
869,일본,농축수산물,면세점 이외,2019.4/4,10
870,일본,농축수산물,면세점 이외,2020.1/4,1
871,일본,농축수산물,면세점 이외,2020.2/4,0
872,일본,농축수산물,면세점 이외,2020.3/4,0
873,일본,농축수산물,면세점 이외,2020.4/4,1
874,일본,농축수산물,면세점 이외,2021.1/4,0
875,일본,농축수산물,면세점 이외,2021.2/4,0
876,일본,농축수산물,면세점 이외,2021.3/4,0
877,일본,농축수산물,면세점 이외,2021.4/4,0
878,일본,농축수산물,면세점 이외,2022.1/4,0
879,일본,농축수산물,면세점 이외,2022.2/4 p),0
880,일본,생활용품 및 자동차용품,면세점 이외,2017.1/4,735
881,일본,생활용품 및 자동차용품,면세점 이외,2017.2/4,695
882,일본,생활용품 및 자동차용품,면세점 이외,2017.3/4,698
883,일본,생활용품 및 자동차용품,면세점 이외,2017.4/4,661
884,일본,생활용품 및 자동차용품,면세점 이외,2018.1/4,919
885,일본,생활용품 및 자동차용품,면세점 이외,2018.2/4,858
886,일본,생활용품 및 자동차용품,면세점 이외,2018.3/4,888
887,일본,생활용품 및 자동차용품,면세점 이외,2018.4/4,544
888,일본,생활용품 및 자동차용품,면세점 이외,2019.1/4,1590
889,일본,생활용품 및 자동차용품,면세점 이외,2019.2/4,986
890,일본,생활용품 및 자동차용품,면세점 이외,2019.3/4,1291
891,일본,생활용품 및 자동차용품,면세점 이외,2019.4/4,1113
892,일본,생활용품 및 자동차용품,면세점 이외,2020.1/4,1561
893,일본,생활용품 및 자동차용품,면세점 이외,2020.2/4,687
894,일본,생활용품 및 자동차용품,면세점 이외,2020.3/4,825
895,일본,생활용품 및 자동차용품,면세점 이외,2020.4/4,838
896,일본,생활용품 및 자동차용품,면세점 이외,2021.1/4,1104
897,일본,생활용품 및 자동차용품,면세점 이외,2021.2/4,740
898,일본,생활용품 및 자동차용품,면세점 이외,2021.3/4,1159
899,일본,생활용품 및 자동차용품,면세점 이외,2021.4/4,2580
900,일본,생활용품 및 자동차용품,면세점 이외,2022.1/4,1503
901,일본,생활용품 및 자동차용품,면세점 이외,2022.2/4 p),1721
902,일본,기 타,면세점 이외,2017.1/4,4398
903,일본,기 타,면세점 이외,2017.2/4,4325
904,일본,기 타,면세점 이외,2017.3/4,4449
905,일본,기 타,면세점 이외,2017.4/4,4473
906,일본,기 타,면세점 이외,2018.1/4,4733
907,일본,기 타,면세점 이외,2018.2/4,5376
908,일본,기 타,면세점 이외,2018.3/4,5102
909,일본,기 타,면세점 이외,2018.4/4,5512
910,일본,기 타,면세점 이외,2019.1/4,5283
911,일본,기 타,면세점 이외,2019.2/4,5436
912,일본,기 타,면세점 이외,2019.3/4,6242
913,일본,기 타,면세점 이외,2019.4/4,5852
914,일본,기 타,면세점 이외,2020.1/4,5458
915,일본,기 타,면세점 이외,2020.2/4,8035
916,일본,기 타,면세점 이외,2020.3/4,8466
917,일본,기 타,면세점 이외,2020.4/4,8550
918,일본,기 타,면세점 이외,2021.1/4,10325
919,일본,기 타,면세점 이외,2021.2/4,10843
920,일본,기 타,면세점 이외,2021.3/4,9616
921,일본,기 타,면세점 이외,2021.4/4,10435
922,일본,기 타,면세점 이외,2022.1/4,8967
923,일본,기 타,면세점 이외,2022.2/4 p),9247
924,아세안(ASEAN),컴퓨터 및 주변기기,면세점 이외,2017.1/4,314
925,아세안(ASEAN),컴퓨터 및 주변기기,면세점 이외,2017.2/4,293
926,아세안(ASEAN),컴퓨터 및 주변기기,면세점 이외,2017.3/4,89
